name,url
Fall 1956,https://myanimelist.net/anime/season/1956/fall
Winter 1955,https://myanimelist.net/anime/season/1955/winter
Spring 1955,https://myanimelist.net/anime/season/1955/spring
Summer 1955,https://myanimelist.net/anime/season/1955/summer
Fall 1955,https://myanimelist.net/anime/season/1955/fall
Winter 1954,https://myanimelist.net/anime/season/1954/winter
Spring 1954,https://myanimelist.net/anime/season/1954/spring
Summer 1954,https://myanimelist.net/anime/season/1954/summer
Fall 1954,https://myanimelist.net/anime/season/1954/fall
Winter 1953,https://myanimelist.net/anime/season/1953/winter
Spring 1953,https://myanimelist.net/anime/season/1953/spring
Summer 1953,https://myanimelist.net/anime/season/1953/summer
Fall 1953,https://myanimelist.net/anime/season/1953/fall
Winter 1952,https://myanimelist.net/anime/season/1952/winter
Spring 1952,https://myanimelist.net/anime/season/1952/spring
Summer 1952,https://myanimelist.net/anime/season/1952/summer
Fall 1952,https://myanimelist.net/anime/season/1952/fall
Winter 1951,https://myanimelist.net/anime/season/1951/winter
Spring 1951,https://myanimelist.net/anime/season/1951/spring
Summer 1951,https://myanimelist.net/anime/season/1951/summer
Fall 1951,https://myanimelist.net/anime/season/1951/fall
Winter 1950,https://myanimelist.net/anime/season/1950/winter
Spring 1950,https://myanimelist.net/anime/season/1950/spring
Summer 1950,https://myanimelist.net/anime/season/1950/summer
Fall 1950,https://myanimelist.net/anime/season/1950/fall
Winter 1949,https://myanimelist.net/anime/season/1949/winter
Spring 1949,https://myanimelist.net/anime/season/1949/spring
Summer 1949,https://myanimelist.net/anime/season/1949/summer
Fall 1949,https://myanimelist.net/anime/season/1949/fall
Winter 1948,https://myanimelist.net/anime/season/1948/winter
Spring 1948,https://myanimelist.net/anime/season/1948/spring
Summer 1948,https://myanimelist.net/anime/season/1948/summer
Fall 1948,https://myanimelist.net/anime/season/1948/fall
Winter 1947,https://myanimelist.net/anime/season/1947/winter
Spring 1947,https://myanimelist.net/anime/season/1947/spring
Summer 1947,https://myanimelist.net/anime/season/1947/summer
Fall 1947,https://myanimelist.net/anime/season/1947/fall
Winter 1946,https://myanimelist.net/anime/season/1946/winter
Spring 1946,https://myanimelist.net/anime/season/1946/spring
Summer 1946,https://myanimelist.net/anime/season/1946/summer
Fall 1946,https://myanimelist.net/anime/season/1946/fall
Winter 1945,https://myanimelist.net/anime/season/1945/winter
Spring 1945,https://myanimelist.net/anime/season/1945/spring
Summer 1945,https://myanimelist.net/anime/season/1945/summer
Fall 1945,https://myanimelist.net/anime/season/1945/fall
Winter 1944,https://myanimelist.net/anime/season/1944/winter
Spring 1944,https://myanimelist.net/anime/season/1944/spring
Summer 1944,https://myanimelist.net/anime/season/1944/summer
Fall 1944,https://myanimelist.net/anime/season/1944/fall
Winter 1943,https://myanimelist.net/anime/season/1943/winter
Spring 1943,https://myanimelist.net/anime/season/1943/spring
Summer 1943,https://myanimelist.net/anime/season/1943/summer
Fall 1943,https://myanimelist.net/anime/season/1943/fall
Winter 1942,https://myanimelist.net/anime/season/1942/winter
Spring 1942,https://myanimelist.net/anime/season/1942/spring
Summer 1942,https://myanimelist.net/anime/season/1942/summer
Fall 1942,https://myanimelist.net/anime/season/1942/fall
Winter 1941,https://myanimelist.net/anime/season/1941/winter
Spring 1941,https://myanimelist.net/anime/season/1941/spring
Summer 1941,https://myanimelist.net/anime/season/1941/summer
Fall 1941,https://myanimelist.net/anime/season/1941/fall
Winter 1940,https://myanimelist.net/anime/season/1940/winter
Spring 1940,https://myanimelist.net/anime/season/1940/spring
Summer 1940,https://myanimelist.net/anime/season/1940/summer
Fall 1940,https://myanimelist.net/anime/season/1940/fall
Winter 1939,https://myanimelist.net/anime/season/1939/winter
Spring 1939,https://myanimelist.net/anime/season/1939/spring
Summer 1939,https://myanimelist.net/anime/season/1939/summer
Fall 1939,https://myanimelist.net/anime/season/1939/fall
Winter 1938,https://myanimelist.net/anime/season/1938/winter
Spring 1938,https://myanimelist.net/anime/season/1938/spring
Summer 1938,https://myanimelist.net/anime/season/1938/summer
Fall 1938,https://myanimelist.net/anime/season/1938/fall
Winter 1937,https://myanimelist.net/anime/season/1937/winter
Spring 1937,https://myanimelist.net/anime/season/1937/spring
Summer 1937,https://myanimelist.net/anime/season/1937/summer
